"";"sex";"age";"period";"CancerCM";"POP"
"186";1;5;6;136;1858764
"187";1;5;7;125;1701703
"188";1;5;8;72;1611500
"189";1;5;9;111;1581859
"190";1;5;10;82;1627209
"191";1;5;11;94;1599336
"192";1;5;12;115;1675690
"193";1;5;13;94;1685561
"194";1;5;14;77;1736786
"195";1;5;15;77;1798198
"196";1;5;16;73;1825479
"197";1;5;17;77;1846700
"198";1;5;18;74;1856991
"199";1;5;19;79;1822061
"200";1;5;20;87;1886255
"201";1;5;21;86;1900261
"202";1;5;22;67;1912261
"203";1;5;23;85;1949402
"204";1;5;24;69;2005393
"205";1;5;25;64;2091867
"206";1;5;26;62;2106895
"207";1;5;27;67;2099999
"208";1;5;28;69;2072627
"209";1;5;29;72;2048870
"210";1;5;30;66;2023452
"211";1;5;31;45;2013536
"212";1;5;32;63;1966784
"213";1;5;33;64;1977675
"214";1;5;34;65;1967302
"215";1;5;35;50;1999277
"216";1;5;36;56;2081193
"217";1;6;1;172;1924328
"218";1;6;2;148;1823972
"219";1;6;3;147;1775904
"220";1;6;4;142;1739690
"221";1;6;5;109;1765972
"222";1;6;6;141;1814421
"223";1;6;7;128;1862542
"224";1;6;8;107;1706027
"225";1;6;9;101;1615247
"226";1;6;10;89;1590999
"227";1;6;11;74;1631031
"228";1;6;12;83;1602374
"229";1;6;13;78;1677322
"230";1;6;14;79;1686787
"231";1;6;15;92;1737754
"232";1;6;16;93;1798421
"233";1;6;17;88;1825219
"234";1;6;18;84;1846815
"235";1;6;19;58;1855974
"236";1;6;20;70;1822535
"237";1;6;21;58;1885601
"238";1;6;22;70;1900924
"239";1;6;23;65;1914462
"240";1;6;24;67;1950097
"241";1;6;25;65;2005556
"242";1;6;26;78;2092341
"243";1;6;27;57;2106938
"244";1;6;28;58;2100492
"245";1;6;29;65;2071922
"246";1;6;30;63;2056967
"247";1;6;31;54;2032792
"248";1;6;32;67;2022882
"249";1;6;33;62;1976125
"250";1;6;34;57;1973795
"251";1;6;35;53;1974832
"252";1;6;36;52;2007002
"253";1;7;1;129;2029736
"254";1;7;2;138;1946311
"255";1;7;3;115;1848116
"256";1;7;4;132;1801922
"257";1;7;5;105;1769713
"258";1;7;6;107;1799189
"259";1;7;7;93;1850960
"260";1;7;8;97;1905153
"261";1;7;9;103;1748870
"262";1;7;10;111;1660137
"263";1;7;11;84;1620089
"264";1;7;12;128;1657479
"265";1;7;13;75;1625218
"266";1;7;14;76;1698460
"267";1;7;15;64;1705710
"268";1;7;16;63;1754430
"269";1;7;17;86;1812782
"270";1;7;18;56;1837517
"271";1;7;19;72;1855559
"272";1;7;20;65;1863790
"273";1;7;21;58;1832932
"274";1;7;22;74;1899185
"275";1;7;23;80;1917930
"276";1;7;24;67;1932198
"277";1;7;25;49;1969564
"278";1;7;26;58;2027769
"279";1;7;27;70;2117903
"280";1;7;28;64;2133781
"281";1;7;29;48;2128808
"282";1;7;30;48;2094623
"283";1;7;31;47;2066011
"284";1;7;32;60;2041859
"285";1;7;33;59;2031932
"286";1;7;34;62;1985755
"287";1;7;35;54;1981128
"288";1;7;36;47;1982318
"289";1;8;1;141;2026653
"290";1;8;2;131;2002702
"291";1;8;3;111;1915608
"292";1;8;4;122;1813938
"293";1;8;5;92;1765690
"294";1;8;6;101;1729528
"295";1;8;7;100;1753341
"296";1;8;8;88;1801291
"297";1;8;9;74;1850438
"298";1;8;10;103;1702308
"299";1;8;11;78;1606578
"300";1;8;12;77;1566118
"301";1;8;13;72;1600616
"302";1;8;14;72;1568656
"303";1;8;15;69;1639115
"304";1;8;16;59;1644732
"305";1;8;17;75;1691020
"306";1;8;18;75;1747411
"307";1;8;19;66;1769440
"308";1;8;20;62;1795717
"309";1;8;21;69;1810044
"310";1;8;22;55;1788464
"311";1;8;23;53;1861423
"312";1;8;24;60;1885742
"313";1;8;25;62;1906153
"314";1;8;26;52;1951052
"315";1;8;27;57;2017297
"316";1;8;28;43;2114161
"317";1;8;29;53;2135753
"318";1;8;30;56;2138227
"319";1;8;31;59;2103531
"320";1;8;32;51;2074928
"321";1;8;33;54;2050769
"322";1;8;34;57;2031648
"323";1;8;35;56;1992941
"324";1;8;36;55;1988493
"325";1;9;1;130;2090131
"326";1;9;2;109;2065242
"327";1;9;3;116;2044981
"328";1;9;4;105;1959733
"329";1;9;5;92;1861225
"330";1;9;6;99;1814684
"331";1;9;7;109;1780461
"332";1;9;8;82;1810557
"333";1;9;9;86;1864343
"334";1;9;10;92;1910761
"335";1;9;11;80;1757431
"336";1;9;12;84;1665080
"337";1;9;13;57;1629348
"338";1;9;14;57;1672566
"339";1;9;15;49;1647363
"340";1;9;16;75;1727499
"341";1;9;17;63;1742641
"342";1;9;18;72;1799745
"343";1;9;19;65;1867371
"344";1;9;20;46;1885545
"345";1;9;21;65;1930241
"346";1;9;22;60;1935243
"347";1;9;23;46;1902411
"348";1;9;24;45;1966718
"349";1;9;25;65;1980002
"350";1;9;26;57;1990497
"351";1;9;27;42;2026480
"352";1;9;28;48;2082731
"353";1;9;29;49;2168489
"354";1;9;30;40;2174169
"355";1;9;31;55;2146712
"356";1;9;32;60;2111991
"357";1;9;33;57;2083406
"358";1;9;34;64;2067021
"359";1;9;35;50;2038484
"360";1;9;36;48;1999953
"361";1;10;1;136;2211594
"362";1;10;2;127;2171946
"363";1;10;3;105;2141835
"364";1;10;4;99;2116231
"365";1;10;5;88;2025616
"366";1;10;6;116;1919281
"367";1;10;7;86;1866707
"368";1;10;8;78;1829660
"369";1;10;9;81;1857389
"370";1;10;10;89;1908606
"371";1;10;11;94;1950989
"372";1;10;12;68;1791596
"373";1;10;13;66;1694562
"374";1;10;14;63;1656180
"375";1;10;15;69;1697509
"376";1;10;16;64;1668541
"377";1;10;17;54;1748481
"378";1;10;18;54;1760159
"379";1;10;19;56;1815227
"380";1;10;20;57;1902628
"381";1;10;21;62;1905716
"382";1;10;22;58;1954758
"383";1;10;23;60;1964373
"384";1;10;24;72;1932792
"385";1;10;25;54;1999829
"386";1;10;26;56;2016554
"387";1;10;27;46;2030389
"388";1;10;28;61;2069654
"389";1;10;29;52;2127091
"390";1;10;30;53;2189035
"391";1;10;31;66;2182484
"392";1;10;32;61;2155020
"393";1;10;33;74;2120309
"394";1;10;34;36;2084161
"395";1;10;35;51;2073710
"396";1;10;36;46;2045363
"397";1;11;1;124;2109649
"398";1;11;2;127;2150606
"399";1;11;3;108;2116561
"400";1;11;4;83;2091570
"401";1;11;5;93;2072501
"402";1;11;6;88;1987259
"403";1;11;7;99;1886591
"404";1;11;8;78;1840620
"405";1;11;9;80;1808792
"406";1;11;10;86;1840223
"407";1;11;11;74;1887204
"408";1;11;12;80;1926501
"409";1;11;13;74;1767319
"410";1;11;14;64;1670826
"411";1;11;15;57;1632011
"412";1;11;16;51;1671127
"413";1;11;17;54;1641948
"414";1;11;18;57;1719413
"415";1;11;19;63;1729737
"416";1;11;20;47;1782867
"417";1;11;21;74;1882864
"418";1;11;22;58;1890088
"419";1;11;23;57;1942440
"420";1;11;24;50;1953184
"421";1;11;25;63;1922940
"422";1;11;26;50;1991458
"423";1;11;27;50;2011132
"424";1;11;28;59;2026514
"425";1;11;29;49;2066343
"426";1;11;30;59;2136707
"427";1;11;31;52;2197270
"428";1;11;32;54;2190711
"429";1;11;33;39;2163258
"430";1;11;34;46;2129805
"431";1;11;35;53;2090803
"432";1;11;36;65;2080531
"433";1;12;1;115;2125557
"434";1;12;2;109;2124100
"435";1;12;3;117;2161473
"436";1;12;4;121;2123640
"437";1;12;5;108;2096340
"438";1;12;6;102;2072455
"439";1;12;7;94;1983142
"440";1;12;8;83;1881078
"441";1;12;9;86;1832769
"442";1;12;10;77;1800779
"443";1;12;11;72;1837136
"444";1;12;12;81;1882801
"445";1;12;13;65;1920896
"446";1;12;14;76;1763061
"447";1;12;15;68;1667123
"448";1;12;16;69;1628340
"449";1;12;17;56;1667074
"450";1;12;18;71;1639134
"451";1;12;19;66;1715460
"452";1;12;20;58;1728912
"453";1;12;21;58;1793793
"454";1;12;22;75;1897504
"455";1;12;23;55;1908120
"456";1;12;24;62;1961219
"457";1;12;25;52;1973218
"458";1;12;26;51;1944824
"459";1;12;27;48;2016210
"460";1;12;28;72;2037998
"461";1;12;29;54;2053713
"462";1;12;30;67;2084855
"463";1;12;31;50;2144842
"464";1;12;32;62;2205370
"465";1;12;33;52;2198807
"466";1;12;34;65;2162416
"467";1;12;35;56;2136318
"468";1;12;36;39;2097494
"469";1;13;1;110;2134607
"470";1;13;2;113;2132378
"471";1;13;3;120;2132423
"472";1;13;4;120;2171634
"473";1;13;5;92;2136544
"474";1;13;6;104;2109328
"475";1;13;7;104;2086076
"476";1;13;8;98;1999380
"477";1;13;9;95;1898472
"478";1;13;10;71;1848204
"479";1;13;11;77;1813799
"480";1;13;12;68;1849213
"481";1;13;13;83;1894411
"482";1;13;14;78;1933101
"483";1;13;15;65;1775476
"484";1;13;16;51;1679012
"485";1;13;17;62;1640422
"486";1;13;18;60;1680028
"487";1;13;19;73;1651978
"488";1;13;20;62;1731870
"489";1;13;21;62;1756501
"490";1;13;22;63;1821827
"491";1;13;23;60;1926089
"492";1;13;24;62;1933493
"493";1;13;25;58;1983968
"494";1;13;26;65;1994004
"495";1;13;27;57;1963920
"496";1;13;28;60;2033190
"497";1;13;29;65;2051405
"498";1;13;30;54;2072051
"499";1;13;31;54;2092935
"500";1;13;32;64;2152897
